pty_id,ctr_ccode,lhelc_id,lhelc_date,pty_cab,tier1_avemag,leadact
16005,NOR,16011,1985-09-08,1,8.26,14.63
16005,NOR,16012,1989-09-11,0,8.26,14.63
16005,NOR,16013,1993-09-13,0,8.26,14.63
16005,NOR,16014,1997-09-16,0,8.26,14.63
16005,NOR,16015,2001-09-10,0,7.89,14.63
16005,NOR,16016,2005-09-12,0,7.89,14.63
16002,NOR,16008,1973-09-09,0,8.16,22.72
16002,NOR,16009,1977-09-11,0,8.16,22.72
16002,NOR,16010,1981-09-14,0,8.26,22.72
16002,NOR,16011,1985-09-08,0,8.26,22.72
16002,NOR,16012,1989-09-11,0,8.26,22.72
16002,NOR,16013,1993-09-13,0,8.26,22.72
16002,NOR,16014,1997-09-16,0,8.26,22.72
16002,NOR,16015,2001-09-10,0,7.89,22.72
16002,NOR,16016,2005-09-12,0,7.89,22.72
7015,DNK,7026,2007-11-13,0,13.5,NA
7018,DNK,7011,1968-01-23,0,7.94,0
7018,DNK,7014,1975-01-09,0,7.94,0
7018,DNK,7015,1977-02-15,0,7.94,0
7018,DNK,7016,1979-10-23,0,7.94,0
7018,DNK,7017,1981-12-08,0,7.94,0
7006,DNK,7011,1968-01-23,0,7.94,23.93
7006,DNK,7014,1975-01-09,0,7.94,23.93
7006,DNK,7015,1977-02-15,0,7.94,23.93
7006,DNK,7016,1979-10-23,0,7.94,23.93
7006,DNK,7017,1981-12-08,0,7.94,23.93
7014,DNK,7022,1994-09-21,0,7.94,NA
7014,DNK,7023,1998-03-11,0,7.94,NA
7014,DNK,7024,2001-11-20,0,7.94,NA
7014,DNK,7025,2005-02-08,0,13.5,NA
7014,DNK,7026,2007-11-13,0,13.5,NA
7005,DNK,7011,1968-01-23,0,7.94,8.78
7005,DNK,7014,1975-01-09,0,7.94,8.78
7005,DNK,7015,1977-02-15,0,7.94,8.78
7005,DNK,7016,1979-10-23,0,7.94,8.78
7005,DNK,7017,1981-12-08,0,7.94,8.78
7005,DNK,7018,1984-01-10,0,7.94,8.78
7005,DNK,7019,1987-09-08,0,7.94,8.78
7005,DNK,7020,1988-05-10,0,7.94,8.78
7005,DNK,7021,1990-12-12,0,7.94,8.78
7005,DNK,7022,1994-09-21,0,7.94,8.78
7005,DNK,7023,1998-03-11,0,7.94,8.78
7005,DNK,7024,2001-11-20,0,7.94,8.78
7005,DNK,7025,2005-02-08,0,13.5,8.78
7005,DNK,7026,2007-11-13,0,13.5,8.78
7001,DNK,7011,1968-01-23,1,7.94,18.76
7001,DNK,7014,1975-01-09,0,7.94,18.76
7001,DNK,7015,1977-02-15,1,7.94,18.76
7001,DNK,7016,1979-10-23,1,7.94,18.76
7001,DNK,7017,1981-12-08,1,7.94,18.76
7001,DNK,7018,1984-01-10,0,7.94,18.76
7001,DNK,7019,1987-09-08,0,7.94,18.76
7001,DNK,7020,1988-05-10,0,7.94,18.76
7001,DNK,7021,1990-12-12,0,7.94,18.76
7001,DNK,7022,1994-09-21,1,7.94,18.76
7001,DNK,7023,1998-03-11,1,7.94,18.76
7001,DNK,7024,2001-11-20,1,7.94,18.76
7001,DNK,7025,2005-02-08,0,13.5,18.76
7001,DNK,7026,2007-11-13,0,13.5,18.76
7019,DNK,7015,1977-02-15,0,7.94,26.55
7019,DNK,7016,1979-10-23,0,7.94,26.55
7019,DNK,7017,1981-12-08,0,7.94,26.55
7019,DNK,7018,1984-01-10,1,7.94,26.55
7019,DNK,7019,1987-09-08,1,7.94,26.55
7019,DNK,7020,1988-05-10,1,7.94,26.55
7019,DNK,7021,1990-12-12,0,7.94,26.55
7019,DNK,7022,1994-09-21,1,7.94,26.55
7002,DNK,7011,1968-01-23,0,7.94,16.65
7002,DNK,7014,1975-01-09,0,7.94,16.65
7002,DNK,7015,1977-02-15,0,7.94,16.65
7002,DNK,7016,1979-10-23,0,7.94,16.65
7002,DNK,7017,1981-12-08,0,7.94,16.65
7002,DNK,7018,1984-01-10,0,7.94,16.65
7002,DNK,7019,1987-09-08,0,7.94,16.65
7002,DNK,7020,1988-05-10,0,7.94,16.65
7002,DNK,7021,1990-12-12,1,7.94,16.65
7002,DNK,7022,1994-09-21,1,7.94,16.65
7002,DNK,7023,1998-03-11,1,7.94,16.65
7002,DNK,7024,2001-11-20,1,7.94,16.65
7002,DNK,7025,2005-02-08,0,13.5,16.65
7002,DNK,7026,2007-11-13,0,13.5,16.65
7008,DNK,7011,1968-01-23,0,7.94,18.55
7008,DNK,7014,1975-01-09,1,7.94,18.55
7008,DNK,7015,1977-02-15,0,7.94,18.55
7008,DNK,7016,1979-10-23,1,7.94,18.55
7008,DNK,7017,1981-12-08,0,7.94,18.55
7008,DNK,7018,1984-01-10,1,7.94,18.55
7008,DNK,7019,1987-09-08,1,7.94,18.55
7008,DNK,7020,1988-05-10,1,7.94,18.55
7008,DNK,7021,1990-12-12,1,7.94,18.55
7008,DNK,7022,1994-09-21,0,7.94,18.55
7008,DNK,7023,1998-03-11,0,7.94,18.55
7008,DNK,7024,2001-11-20,0,7.94,18.55
7008,DNK,7025,2005-02-08,1,13.5,18.55
7008,DNK,7026,2007-11-13,1,13.5,18.55
7012,DNK,7014,1975-01-09,0,7.94,17.05
7012,DNK,7015,1977-02-15,0,7.94,17.05
7012,DNK,7016,1979-10-23,0,7.94,17.05
7012,DNK,7017,1981-12-08,0,7.94,17.05
7012,DNK,7018,1984-01-10,1,7.94,17.05
7012,DNK,7019,1987-09-08,1,7.94,17.05
7012,DNK,7020,1988-05-10,1,7.94,17.05
7012,DNK,7021,1990-12-12,0,7.94,17.05
7012,DNK,7023,1998-03-11,0,7.94,17.05
7012,DNK,7024,2001-11-20,0,7.94,17.05
7003,DNK,7011,1968-01-23,0,7.94,20.81
7003,DNK,7014,1975-01-09,0,7.94,20.81
7003,DNK,7015,1977-02-15,0,7.94,20.81
7003,DNK,7016,1979-10-23,0,7.94,20.81
7003,DNK,7017,1981-12-08,0,7.94,20.81
7003,DNK,7018,1984-01-10,1,7.94,20.81
7003,DNK,7019,1987-09-08,1,7.94,20.81
7003,DNK,7020,1988-05-10,1,7.94,20.81
7003,DNK,7021,1990-12-12,1,7.94,20.81
7003,DNK,7022,1994-09-21,0,7.94,20.81
7003,DNK,7023,1998-03-11,0,7.94,20.81
7003,DNK,7024,2001-11-20,0,7.94,20.81
7003,DNK,7025,2005-02-08,1,13.5,20.81
7003,DNK,7026,2007-11-13,1,13.5,20.81
7022,DNK,7023,1998-03-11,0,7.94,NA
7022,DNK,7024,2001-11-20,0,7.94,NA
7022,DNK,7025,2005-02-08,0,13.5,NA
7022,DNK,7026,2007-11-13,0,13.5,NA
7013,DNK,7014,1975-01-09,0,7.94,25.26
7013,DNK,7015,1977-02-15,0,7.94,25.26
7013,DNK,7016,1979-10-23,0,7.94,25.26
7013,DNK,7017,1981-12-08,0,7.94,25.26
7013,DNK,7018,1984-01-10,0,7.94,25.26
7013,DNK,7019,1987-09-08,0,7.94,25.26
7013,DNK,7020,1988-05-10,0,7.94,25.26
7013,DNK,7021,1990-12-12,0,7.94,25.26
7013,DNK,7022,1994-09-21,0,7.94,25.26
7004,DNK,7011,1968-01-23,0,7.94,10.93
7004,DNK,7014,1975-01-09,0,7.94,10.93
7004,DNK,7015,1977-02-15,0,7.94,10.93
7004,DNK,7016,1979-10-23,0,7.94,10.93
7004,DNK,7017,1981-12-08,0,7.94,10.93
9012,FIN,9013,1987-03-16,0,13.3,5.2
9012,FIN,9014,1991-03-17,0,13.3,5.2
9012,FIN,9015,1995-03-19,0,13.3,5.2
9012,FIN,9016,1999-03-21,1,13.3,5.2
9012,FIN,9017,2003-03-16,1,13.3,5.2
9012,FIN,9018,2007-03-18,0,13.3,5.2
9020,FIN,9012,1983-03-21,0,13.3,18.77
9002,FIN,9013,1987-03-16,0,13.3,NA
9002,FIN,9014,1991-03-17,0,13.3,NA
9002,FIN,9015,1995-03-19,0,13.3,NA
9002,FIN,9016,1999-03-21,1,13.3,NA
9002,FIN,9017,2003-03-16,1,13.3,NA
9002,FIN,9018,2007-03-18,0,13.3,NA
9001,FIN,9012,1983-03-21,1,13.3,20.36
9001,FIN,9013,1987-03-16,1,13.3,20.36
9001,FIN,9014,1991-03-17,1,13.3,20.36
9001,FIN,9015,1995-03-19,0,13.3,20.36
9001,FIN,9016,1999-03-21,1,13.3,20.36
9001,FIN,9017,2003-03-16,1,13.3,20.36
9001,FIN,9018,2007-03-18,1,13.3,20.36
9006,FIN,9013,1987-03-16,0,13.3,14.15
