choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
"FP","EL",.0063117,.0062402,1923,.4815736,.0217403
"FP","KrF",.0097407,.0098804,1923,.4815736,.0217403
"FP","FP",.7109007,.0067603,1923,.4815736,.0217403
"FP","CD",.0047279,.0062402,1923,.4815736,.0217403
"FP","SD",.0015929,.1846074,1923,.4815736,.0217403
"FP","KF",.0041474,.0655226,1923,.4815736,.0217403
"FP","DF",.0032198,.0114405,1923,.4815736,.0217403
"EL","CD",.008054,.0062402,1923,.4815736,.0339494
"EL","SD",.0027135,.1846074,1923,.4815736,.0339494
"EL","SF",.006514,.0405616,1923,.4815736,.0339494
"EL","KrF",.0165933,.0098804,1923,.4815736,.0339494
"EL","DF",.005485,.0114405,1923,.4815736,.0339494
"EL","FP",.016058,.0067603,1923,.4815736,.0339494
"EL","EL",.8108677,.0062402,1923,.4815736,.0339494
"EL","KF",.0070651,.0655226,1923,.4815736,.0339494
"EL","V",.0035698,.1580863,1923,.4815736,.0339494
"EL","RV",.0096523,.0171607,1923,.4815736,.0339494
"EL","NoID",.0537909,.4934997,1923,.4815736,.0339494
