choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
CON,LAB,.031996198,.47637117,2899,.61764443,.26663822
CON,LD,.028528143,.11624698,2899,.61764443,.26663822
CON,CON,.85723656,.2438772,2899,.61764443,.26663822
CON,NoID,.23864397,.16350466,2899,.61764443,.26663822
LAB,NoID,.35570925,.16350466,2899,.61764443,.51459044
LAB,LAB,.91361672,.47637117,2899,.61764443,.51459044
LAB,CON,.066699773,.2438772,2899,.61764443,.51459044
LAB,LD,.042522442,.11624698,2899,.61764443,.51459044
LD,NoID,.40564677,.16350466,2899,.61764443,.21877135
LD,LAB,.054387104,.47637117,2899,.61764443,.21877135
LD,CON,.076063663,.2438772,2899,.61764443,.21877135
LD,LD,.92894942,.11624698,2899,.61764443,.21877135
