choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
SPD,CDU.CSU,.015000077,.38260868,1150,.73990607,.45396566
SPD,NoID,.33069167,.14347826,1150,.73990607,.45396566
SPD,SPD,.95427364,.4173913,1150,.73990607,.45396566
SPD,FDP,.043769248,.05652174,1150,.73990607,.45396566
CDU.CSU,NoID,.51034701,.14347826,1150,.73990607,.46570525
CDU.CSU,SPD,.034866292,.4173913,1150,.73990607,.46570525
CDU.CSU,FDP,.067547835,.05652174,1150,.73990607,.46570525
CDU.CSU,CDU.CSU,.97778946,.38260868,1150,.73990607,.46570525
FDP,FDP,.8886829,.05652174,1150,.73990607,.080329061
FDP,CDU.CSU,.0072104391,.38260868,1150,.73990607,.080329061
FDP,SPD,.010860045,.4173913,1150,.73990607,.080329061
FDP,NoID,.15896133,.14347826,1150,.73990607,.080329061
