choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
"ROD","DNA",.0014459,.258453,2159,.5470249,.0103723
"ROD","NoID",.0198957,.38629,2159,.5470249,.0103723
"ROD","ROD",.5565958,.0027791,2159,.5470249,.0103723
"ROD","KrF",.0026549,.04956,2159,.5470249,.0103723
"ROD","FrP",.0015483,.0370542,2159,.5470249,.0103723
"ROD","SVP",.001875,.0602131,2159,.5470249,.0103723
"ROD","H",.0017848,.156554,2159,.5470249,.0103723
"ROD","SP",.0038366,.036591,2159,.5470249,.0103723
"ROD","V",.0035664,.0125058,2159,.5470249,.0103723
"SVP","V",.0283185,.0125058,2159,.5470249,.1248143
"SVP","SP",.0304641,.036591,2159,.5470249,.1248143
"SVP","DNA",.011481,.258453,2159,.5470249,.1248143
"SVP","NoID",.1579789,.38629,2159,.5470249,.1248143
"SVP","KrF",.021081,.04956,2159,.5470249,.1248143
"SVP","H",.0141716,.156554,2159,.5470249,.1248143
"SVP","ROD",.0714704,.0027791,2159,.5470249,.1248143
"SVP","FrP",.0122939,.0370542,2159,.5470249,.1248143
"SVP","SVP",.9206469,.0602131,2159,.5470249,.1248143
"DNA","FrP",.0163219,.0370542,2159,.5470249,.3329714
"DNA","V",.0375969,.0125058,2159,.5470249,.3329714
"DNA","H",.0188148,.156554,2159,.5470249,.3329714
"DNA","ROD",.0948873,.0027791,2159,.5470249,.3329714
"DNA","SP",.0404455,.036591,2159,.5470249,.3329714
"DNA","KrF",.027988,.04956,2159,.5470249,.3329714
"DNA","NoID",.2097398,.38629,2159,.5470249,.3329714
"DNA","SVP",.0197661,.0602131,2159,.5470249,.3329714
"DNA","DNA",.9425686,.258453,2159,.5470249,.3329714
"V","FrP",.0058567,.0370542,2159,.5470249,.0437429
"V","NoID",.07526,.38629,2159,.5470249,.0437429
"V","SP",.0145129,.036591,2159,.5470249,.0437429
"V","ROD",.034048,.0027791,2159,.5470249,.0437429
"V","H",.0067512,.156554,2159,.5470249,.0437429
"V","KrF",.0100428,.04956,2159,.5470249,.0437429
"V","DNA",.0054694,.258453,2159,.5470249,.0437429
"V","SVP",.0070926,.0602131,2159,.5470249,.0437429
"V","V",.8342356,.0125058,2159,.5470249,.0437429
"KrF","ROD",.0482905,.0027791,2159,.5470249,.0904299
"KrF","SP",.0205837,.036591,2159,.5470249,.0904299
"KrF","KrF",.8808022,.04956,2159,.5470249,.0904299
"KrF","SVP",.0100595,.0602131,2159,.5470249,.0904299
"KrF","NoID",.1067417,.38629,2159,.5470249,.0904299
"KrF","DNA",.0077573,.258453,2159,.5470249,.0904299
"KrF","H",.0095753,.156554,2159,.5470249,.0904299
"KrF","FrP",.0083066,.0370542,2159,.5470249,.0904299
"KrF","V",.019134,.0125058,2159,.5470249,.0904299
"SP","H",.0061719,.156554,2159,.5470249,.0601409
"SP","V",.0123331,.0125058,2159,.5470249,.0601409
"SP","DNA",.0050001,.258453,2159,.5470249,.0601409
"SP","ROD",.0311262,.0027791,2159,.5470249,.0601409
"SP","FrP",.0053541,.0370542,2159,.5470249,.0601409
"SP","SVP",.006484,.0602131,2159,.5470249,.0601409
"SP","NoID",.0688017,.38629,2159,.5470249,.0601409
"SP","KrF",.009181,.04956,2159,.5470249,.0601409
"SP","SP",.8204308,.036591,2159,.5470249,.0601409
"H","NoID",.166798,.38629,2159,.5470249,.2167091
"H","SVP",.0157192,.0602131,2159,.5470249,.2167091
"H","ROD",.0754602,.0027791,2159,.5470249,.2167091
"H","FrP",.0129802,.0370542,2159,.5470249,.2167091
"H","H",.9252573,.156554,2159,.5470249,.2167091
"H","DNA",.0121219,.258453,2159,.5470249,.2167091
"H","KrF",.0222578,.04956,2159,.5470249,.2167091
"H","SP",.0321648,.036591,2159,.5470249,.2167091
"H","V",.0298994,.0125058,2159,.5470249,.2167091
"FrP","SVP",.0183567,.0602131,2159,.5470249,.1208191
"FrP","SP",.0375616,.036591,2159,.5470249,.1208191
"FrP","FrP",.9373384,.0370542,2159,.5470249,.1208191
"FrP","DNA",.0141558,.258453,2159,.5470249,.1208191
"FrP","KrF",.0259923,.04956,2159,.5470249,.1208191
"FrP","H",.0174732,.156554,2159,.5470249,.1208191
"FrP","V",.0349161,.0125058,2159,.5470249,.1208191
"FrP","ROD",.0881214,.0027791,2159,.5470249,.1208191
"FrP","NoID",.1947844,.38629,2159,.5470249,.1208191
