choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
"ROD","SVP",.003718,.0398333,2159,.5122374,.0109319
"ROD","FrP",.0044156,.0162112,2159,.5122374,.0109319
"ROD","KrF",.0041549,.0379805,2159,.5122374,.0109319
"ROD","NoID",.0188767,.4335341,2159,.5122374,.0109319
"ROD","SP",.0015997,.0648448,2159,.5122374,.0109319
"ROD","DNA",.0014457,.2806855,2159,.5122374,.0109319
"ROD","H",.0028661,.1130153,2159,.5122374,.0109319
"ROD","V",.0054102,.0106531,2159,.5122374,.0109319
"ROD","ROD",.4563701,.0032422,2159,.5122374,.0109319
"SVP","ROD",.0529895,.0032422,2159,.5122374,.0800466
"SVP","SVP",.8218735,.0398333,2159,.5122374,.0800466
"SVP","NoID",.0956335,.4335341,2159,.5122374,.0800466
"SVP","H",.0145204,.1130153,2159,.5122374,.0800466
"SVP","V",.0274093,.0106531,2159,.5122374,.0800466
"SVP","FrP",.0223702,.0162112,2159,.5122374,.0800466
"SVP","DNA",.0073243,.2806855,2159,.5122374,.0800466
"SVP","SP",.0081043,.0648448,2159,.5122374,.0800466
"SVP","KrF",.0210496,.0379805,2159,.5122374,.0800466
"DNA","DNA",.9450721,.2806855,2159,.5122374,.4013099
"DNA","H",.0429402,.1130153,2159,.5122374,.4013099
"DNA","KrF",.0622486,.0379805,2159,.5122374,.4013099
"DNA","SVP",.0557031,.0398333,2159,.5122374,.4013099
"DNA","FrP",.0661538,.0162112,2159,.5122374,.4013099
"DNA","NoID",.2828102,.4335341,2159,.5122374,.4013099
"DNA","V",.0810556,.0106531,2159,.5122374,.4013099
"DNA","SP",.0239664,.0648448,2159,.5122374,.4013099
"DNA","ROD",.1567021,.0032422,2159,.5122374,.4013099
"V","SVP",.0114996,.0398333,2159,.5122374,.03694
"V","DNA",.0044715,.2806855,2159,.5122374,.03694
"V","SP",.0049477,.0648448,2159,.5122374,.03694
"V","KrF",.0128509,.0379805,2159,.5122374,.03694
"V","ROD",.0323503,.0032422,2159,.5122374,.03694
"V","NoID",.0583846,.4335341,2159,.5122374,.03694
"V","V",.7301257,.0106531,2159,.5122374,.03694
"V","H",.0088648,.1130153,2159,.5122374,.03694
"V","FrP",.0136571,.0162112,2159,.5122374,.03694
"KrF","NoID",.083111,.4335341,2159,.5122374,.0713868
"KrF","SP",.0070431,.0648448,2159,.5122374,.0713868
"KrF","KrF",.7981859,.0379805,2159,.5122374,.0713868
"KrF","DNA",.0063653,.2806855,2159,.5122374,.0713868
"KrF","ROD",.0460509,.0032422,2159,.5122374,.0713868
"KrF","V",.0238203,.0106531,2159,.5122374,.0713868
"KrF","H",.0126191,.1130153,2159,.5122374,.0713868
"KrF","FrP",.019441,.0162112,2159,.5122374,.0713868
"KrF","SVP",.0163698,.0398333,2159,.5122374,.0713868
"SP","NoID",.2533339,.4335341,2159,.5122374,.1866583
"SP","DNA",.0194023,.2806855,2159,.5122374,.1866583
"SP","H",.0384647,.1130153,2159,.5122374,.1866583
"SP","SVP",.0498973,.0398333,2159,.5122374,.1866583
"SP","ROD",.1403696,.0032422,2159,.5122374,.1866583
"SP","V",.0726075,.0106531,2159,.5122374,.1866583
"SP","KrF",.0557607,.0379805,2159,.5122374,.1866583
"SP","FrP",.0592588,.0162112,2159,.5122374,.1866583
"SP","SP",.9367247,.0648448,2159,.5122374,.1866583
"H","ROD",.0726023,.0032422,2159,.5122374,.1617026
"H","DNA",.0100353,.2806855,2159,.5122374,.1617026
"H","FrP",.03065,.0162112,2159,.5122374,.1617026
"H","H",.8680609,.1130153,2159,.5122374,.1617026
"H","V",.0375542,.0106531,2159,.5122374,.1617026
"H","SP",.011104,.0648448,2159,.5122374,.1617026
"H","KrF",.0288407,.0379805,2159,.5122374,.1617026
"H","SVP",.025808,.0398333,2159,.5122374,.1617026
"H","NoID",.1310299,.4335341,2159,.5122374,.1617026
"FrP","FrP",.7840537,.0162112,2159,.5122374,.0510238
"FrP","ROD",.0425652,.0032422,2159,.5122374,.0510238
"FrP","H",.0116639,.1130153,2159,.5122374,.0510238
"FrP","KrF",.0169087,.0379805,2159,.5122374,.0510238
"FrP","DNA",.0058835,.2806855,2159,.5122374,.0510238
"FrP","V",.0220173,.0106531,2159,.5122374,.0510238
"FrP","SVP",.0151307,.0398333,2159,.5122374,.0510238
"FrP","SP",.00651,.0648448,2159,.5122374,.0510238
"FrP","NoID",.0768202,.4335341,2159,.5122374,.0510238
