choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
CON,LD,.030592555,.12774958,3546,.6370942,.27999631
CON,CON,.84486639,.28059787,3546,.6370942,.27999631
CON,NoID,.21420649,.13620982,3546,.6370942,.27999631
CON,LAB,.021612814,.45544276,3546,.6370942,.27999631
LAB,LD,.06705901,.12774958,3546,.6370942,.52960056
LAB,LAB,.94647831,.45544276,3546,.6370942,.52960056
LAB,CON,.092698246,.28059787,3546,.6370942,.52960056
LAB,NoID,.46954155,.13620982,3546,.6370942,.52960056
LD,CON,.062435374,.28059787,3546,.6370942,.19040316
LD,LD,.90234846,.12774958,3546,.6370942,.19040316
LD,LAB,.031908907,.45544276,3546,.6370942,.19040316
LD,NoID,.31625196,.13620982,3546,.6370942,.19040316
