choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
LPC,LPC,.67319059,.23123029,3170,.49648553,.19345529
LPC,NoID,.12616788,.16693126,3170,.49648553,.19345529
LPC,NDP,.019201027,.1599369,3170,.49648553,.19345529
LPC,BQ,.06253998,.067823343,3170,.49648553,.19345529
LPC,CPC,.024152212,.32429022,3170,.49648553,.19345529
LPC,GPC,.070853241,.022397477,3170,.49648553,.19345529
CPC,NDP,.048453327,.1599369,3170,.49648553,.3851153
CPC,CPC,.86951834,.32429022,3170,.49648553,.3851153
CPC,GPC,.17879644,.022397477,3170,.49648553,.3851153
CPC,NoID,.31838158,.16693126,3170,.49648553,.3851153
CPC,BQ,.15781812,.067823343,3170,.49648553,.3851153
CPC,LPC,.11907332,.23123029,3170,.49648553,.3851153
NDP,BQ,.20814772,.067823343,3170,.49648553,.29769549
NDP,LPC,.15704685,.23123029,3170,.49648553,.29769549
NDP,NoID,.4199163,.16693126,3170,.49648553,.29769549
NDP,CPC,.080384225,.32429022,3170,.49648553,.29769549
NDP,GPC,.23581621,.022397477,3170,.49648553,.29769549
NDP,NDP,.9117192,.1599369,3170,.49648553,.29769549
BQ,LPC,.028681003,.23123029,3170,.49648553,.063807704
BQ,BQ,.54232478,.067823343,3170,.49648553,.063807704
BQ,NoID,.076688066,.16693126,3170,.49648553,.063807704
BQ,GPC,.043066416,.022397477,3170,.49648553,.063807704
BQ,NDP,.011670876,.1599369,3170,.49648553,.063807704
BQ,CPC,.014680333,.32429022,3170,.49648553,.063807704
GPC,GPC,.4714677,.022397477,3170,.49648553,.032535702
GPC,NoID,.058846183,.16693126,3170,.49648553,.032535702
GPC,NDP,.0089555848,.1599369,3170,.49648553,.032535702
GPC,LPC,.022008216,.23123029,3170,.49648553,.032535702
GPC,BQ,.029169384,.067823343,3170,.49648553,.032535702
GPC,CPC,.011264876,.32429022,3170,.49648553,.032535702
