choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
CON,CON,.93091977,.40481651,1744,.68822664,.4265818
CON,NoID,.40564662,.042431194,1744,.68822664,.4265818
CON,LAB,.041852474,.42889908,1744,.68822664,.4265818
CON,LP,.11761942,.12385321,1744,.68822664,.4265818
LAB,NoID,.46371493,.042431194,1744,.68822664,.46331468
LAB,CON,.053896457,.40481651,1744,.68822664,.46331468
LAB,LP,.13445663,.12385321,1744,.68822664,.46331468
LAB,LAB,.94466895,.42889908,1744,.68822664,.46331468
LP,CON,.015183788,.40481651,1744,.68822664,.11010353
LP,LAB,.013478585,.42889908,1744,.68822664,.11010353
LP,LP,.74792391,.12385321,1744,.68822664,.11010353
LP,NoID,.13063845,.042431194,1744,.68822664,.11010353
