choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
"SD","V",.0319933,.0905109,1370,.6169573,.436344
"SD","SF",.0334299,.0313869,1370,.6169573,.436344
"SD","CD",.0258903,.0131387,1370,.6169573,.436344
"SD","DKP",.0753749,.0153285,1370,.6169573,.436344
"SD","DR",.0533333,.0182482,1370,.6169573,.436344
"SD","RV",.0674314,.019708,1370,.6169573,.436344
"SD","KF",.0312977,.0423358,1370,.6169573,.436344
"SD","VS",.0796367,.0094891,1370,.6169573,.436344
"SD","NoID",.3373063,.4328467,1370,.6169573,.436344
"SD","SlesV.P",.1733998,.0021898,1370,.6169573,.436344
"SD","SD",.9838471,.2832117,1370,.6169573,.436344
"SD","KrF",.0718863,.0138686,1370,.6169573,.436344
"SD","FP",.018208,.0277372,1370,.6169573,.436344
"RV","KF",.0031294,.0423358,1370,.6169573,.03177
"RV","DKP",.0075367,.0153285,1370,.6169573,.03177
"RV","CD",.0025887,.0131387,1370,.6169573,.03177
"RV","DR",.0053328,.0182482,1370,.6169573,.03177
"RV","SlesV.P",.0173381,.0021898,1370,.6169573,.03177
"RV","RV",.8068308,.019708,1370,.6169573,.03177
"RV","NoID",.033727,.4328467,1370,.6169573,.03177
"RV","V",.003199,.0905109,1370,.6169573,.03177
"RV","SF",.0033426,.0313869,1370,.6169573,.03177
"RV","VS",.0079628,.0094891,1370,.6169573,.03177
"RV","SD",.0008221,.2832117,1370,.6169573,.03177
"RV","KrF",.0071878,.0138686,1370,.6169573,.03177
"RV","FP",.0018206,.0277372,1370,.6169573,.03177
"KF","RV",.0164716,.019708,1370,.6169573,.0774997
"KF","KF",.9148579,.0423358,1370,.6169573,.0774997
"KF","CD",.0063243,.0131387,1370,.6169573,.0774997
"KF","KrF",.0175598,.0138686,1370,.6169573,.0774997
"KF","DKP",.018412,.0153285,1370,.6169573,.0774997
"KF","VS",.019453,.0094891,1370,.6169573,.0774997
"KF","DR",.0130278,.0182482,1370,.6169573,.0774997
"KF","SF",.008166,.0313869,1370,.6169573,.0774997
"KF","SlesV.P",.0423567,.0021898,1370,.6169573,.0774997
"KF","FP",.0044477,.0277372,1370,.6169573,.0774997
"KF","V",.0078151,.0905109,1370,.6169573,.0774997
"KF","NoID",.0823944,.4328467,1370,.6169573,.0774997
"KF","SD",.0020083,.2832117,1370,.6169573,.0774997
"CD","RV",.0202637,.019708,1370,.6169573,.0602223
"CD","SlesV.P",.0521082,.0021898,1370,.6169573,.0602223
"CD","CD",.9310243,.0131387,1370,.6169573,.0602223
"CD","KrF",.0216025,.0138686,1370,.6169573,.0602223
"CD","V",.0096143,.0905109,1370,.6169573,.0602223
"CD","SD",.0024707,.2832117,1370,.6169573,.0602223
"CD","NoID",.1013635,.4328467,1370,.6169573,.0602223
"CD","DKP",.0226508,.0153285,1370,.6169573,.0602223
"CD","KF",.0094052,.0423358,1370,.6169573,.0602223
