choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
"SVP","SVP",.9666423,.0261224,1225,.5924912,.1005817
"SVP","FrP",.0201469,.0073469,1225,.5924912,.1005817
"SVP","KrF",.008684,.0693878,1225,.5924912,.1005817
"SVP","DNA",.006595,.3028571,1225,.5924912,.1005817
"SVP","V",.0253839,.0195918,1225,.5924912,.1005817
"SVP","NoID",.1794625,.3918367,1225,.5924912,.1005817
"SVP","DLF",.0233225,.0138776,1225,.5924912,.1005817
"SVP","SP",.0092586,.0995918,1225,.5924912,.1005817
"SVP","H",.0074896,.0693878,1225,.5924912,.1005817
"DNA","DNA",.9705771,.3028571,1225,.5924912,.3756143
"DNA","NoID",.1993415,.3918367,1225,.5924912,.3756143
"DNA","H",.0083192,.0693878,1225,.5924912,.3756143
"DNA","KrF",.009646,.0693878,1225,.5924912,.3756143
"DNA","SVP",.0081039,.0261224,1225,.5924912,.3756143
"DNA","DLF",.0259059,.0138776,1225,.5924912,.3756143
"DNA","FrP",.0223786,.0073469,1225,.5924912,.3756143
"DNA","SP",.0102842,.0995918,1225,.5924912,.3756143
"DNA","V",.0281957,.0195918,1225,.5924912,.3756143
"V","NoID",.0461616,.3918367,1225,.5924912,.0362464
"V","SP",.0023815,.0995918,1225,.5924912,.0362464
"V","DNA",.0016964,.3028571,1225,.5924912,.0362464
"V","H",.0019265,.0693878,1225,.5924912,.0362464
"V","DLF",.005999,.0138776,1225,.5924912,.0362464
"V","V",.8650852,.0195918,1225,.5924912,.0362464
"V","KrF",.0022337,.0693878,1225,.5924912,.0362464
"V","SVP",.0018766,.0261224,1225,.5924912,.0362464
"V","FrP",.0051822,.0073469,1225,.5924912,.0362464
"KrF","V",.021154,.0195918,1225,.5924912,.1289666
"KrF","KrF",.9588478,.0693878,1225,.5924912,.1289666
"KrF","DLF",.0194361,.0138776,1225,.5924912,.1289666
"KrF","H",.0062415,.0693878,1225,.5924912,.1289666
"KrF","SVP",.00608,.0261224,1225,.5924912,.1289666
"KrF","DNA",.005496,.3028571,1225,.5924912,.1289666
"KrF","SP",.0077158,.0995918,1225,.5924912,.1289666
"KrF","FrP",.0167897,.0073469,1225,.5924912,.1289666
"KrF","NoID",.1495572,.3918367,1225,.5924912,.1289666
"SP","DLF",.0181685,.0138776,1225,.5924912,.1532858
"SP","SP",.9556217,.0995918,1225,.5924912,.1532858
"SP","NoID",.1398036,.3918367,1225,.5924912,.1532858
"SP","V",.0197744,.0195918,1225,.5924912,.1532858
"SP","H",.0058345,.0693878,1225,.5924912,.1532858
"SP","KrF",.006765,.0693878,1225,.5924912,.1532858
"SP","DNA",.0051376,.3028571,1225,.5924912,.1532858
"SP","SVP",.0056835,.0261224,1225,.5924912,.1532858
"SP","FrP",.0156947,.0073469,1225,.5924912,.1532858
"DLF","V",.0072015,.0195918,1225,.5924912,.0334996
"DLF","H",.0021248,.0693878,1225,.5924912,.0334996
"DLF","FrP",.0057157,.0073469,1225,.5924912,.0334996
"DLF","KrF",.0024637,.0693878,1225,.5924912,.0334996
"DLF","DNA",.001871,.3028571,1225,.5924912,.0334996
"DLF","DLF",.8766593,.0138776,1225,.5924912,.0334996
"DLF","SVP",.0020698,.0261224,1225,.5924912,.0334996
"DLF","NoID",.0509139,.3918367,1225,.5924912,.0334996
"DLF","SP",.0026267,.0995918,1225,.5924912,.0334996
"H","NoID",.1746222,.3918367,1225,.5924912,.1399763
"H","FrP",.0196035,.0073469,1225,.5924912,.1399763
"H","SP",.0090089,.0995918,1225,.5924912,.1399763
"H","V",.0246993,.0195918,1225,.5924912,.1399763
"H","KrF",.0084498,.0693878,1225,.5924912,.1399763
"H","H",.9655542,.0693878,1225,.5924912,.1399763
"H","DNA",.0064171,.3028571,1225,.5924912,.1399763
"H","SVP",.007099,.0261224,1225,.5924912,.1399763
"H","DLF",.0226934,.0138776,1225,.5924912,.1399763
"FrP","DNA",.00221,.3028571,1225,.5924912,.0318292
"FrP","FrP",.8944886,.0073469,1225,.5924912,.0318292
"FrP","NoID",.0601376,.3918367,1225,.5924912,.0318292
"FrP","H",.0025097,.0693878,1225,.5924912,.0318292
"FrP","V",.0085061,.0195918,1225,.5924912,.0318292
"FrP","KrF",.00291,.0693878,1225,.5924912,.0318292
"FrP","SP",.0031026,.0995918,1225,.5924912,.0318292
"FrP","DLF",.0078153,.0138776,1225,.5924912,.0318292
"FrP","SVP",.0024448,.0261224,1225,.5924912,.0318292
